BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16	K17	L17	M17	K18	L18	M18
0	1.05375822901686E-09	1.0E+10	1.0E+10	1E-30	7.83354675633042E-11	1.0E+10	1E-30	1.0E+10	0.260958140485821	2.55141494110661E-08	1.0E+10	59.9206036652472	7.41636282519422E-08	1.0E+10	2.37126709713193	3.89216253858101E-08	1.0E+10	0.638234792133734	1.50139993485306E-08	1.0E+10	0.187981236791208	1E-30	3.24434595070356E-10	5.42727235727326	7.31387479535044E-11	5.06590646051242E-11	1.19853152500317	7.65856709508138E-12	1.16053212423352E-10	10.438773196923	8.37444817106855E-12	5.68064772571151E-11	6.17312270055677	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
1	1.05375822901686E-09	1.0E+10	1.0E+10	1E-30	7.83354675633042E-11	1.0E+10	1E-30	1.0E+10	0.260958140485821	2.55141494110661E-08	1.0E+10	59.9206036652472	7.41636282519422E-08	1.0E+10	2.37126709713193	3.89216253858101E-08	1.0E+10	0.638234792133734	1.50139993485306E-08	1.0E+10	0.187981236791208	1E-30	3.24434595070356E-10	5.42727235727326	7.31387479535044E-11	5.06590646051242E-11	1.19853152500317	7.65856709508138E-12	1.16053212423352E-10	10.438773196923	8.37444817106855E-12	5.68064772571151E-11	6.17312270055677	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
2	1.22587756020179E-09	1.0E+10	1.0E+10	1E-30	7.29393162983114E-11	1.0E+10	1E-30	1.0E+10	0.181436462201154	6.73740579183769E-08	1.0E+10	13.9100094834247	7.22837852703026E-08	1.0E+10	1.78330689779181	4.08945156042766E-08	1.0E+10	0.385782901759987	9.84363994179903E-09	1.0E+10	0.147046663751429	3.48817886803899E-10	5.74731272435515E-11	0.465740535613019	4.01822584965861E-11	9.81490520778093E-11	2.39300277993547	2.66586450023999E-12	2.62110996820836E-10	18.6219803399523	3.89180475776579E-12	9.11116968530703E-11	11.214740712041	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
3	1.22587756020179E-09	1.0E+10	1.0E+10	1E-30	7.29393162983114E-11	1.0E+10	1E-30	1.0E+10	0.181436462201154	6.73740579183769E-08	1.0E+10	13.9100094834247	7.22837852703026E-08	1.0E+10	1.78330689779181	4.08945156042766E-08	1.0E+10	0.385782901759987	9.84363994179903E-09	1.0E+10	0.147046663751429	3.48817886803899E-10	5.74731272435515E-11	0.465740535613019	4.01822584965861E-11	9.81490520778093E-11	2.39300277993547	2.66586450023999E-12	2.62110996820836E-10	18.6219803399523	3.89180475776579E-12	9.11116968530703E-11	11.214740712041	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
4	1.50650066521313E-09	1.0E+10	1.0E+10	1E-30	1.02092740116305E-10	1.0E+10	1E-30	1.0E+10	0.163247521587273	5.53926390273444E-08	1.0E+10	28.7321467051478	8.75404198157713E-08	1.0E+10	1.85378067931557	5.65890422406269E-08	1.0E+10	0.327548564244939	1.52276156642579E-08	1.0E+10	0.125308054812044	7.34018211001277E-10	4.5682369186993E-11	0.317586589342345	2.65662826162373E-11	1.19600442656536E-10	2.63261664326402	5.44659519249483E-12	1.38429598378524E-10	12.3466064418522	2.72976397721408E-12	1.51785036322909E-10	15.1896443309217	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
5	1.50650066521313E-09	1.0E+10	1.0E+10	1E-30	1.02092740116305E-10	1.0E+10	1E-30	1.0E+10	0.163247521587273	5.53926390273444E-08	1.0E+10	28.7321467051478	8.75404198157713E-08	1.0E+10	1.85378067931557	5.65890422406269E-08	1.0E+10	0.327548564244939	1.52276156642579E-08	1.0E+10	0.125308054812044	7.34018211001277E-10	4.5682369186993E-11	0.317586589342345	2.65662826162373E-11	1.19600442656536E-10	2.63261664326402	5.44659519249483E-12	1.38429598378524E-10	12.3466064418522	2.72976397721408E-12	1.51785036322909E-10	15.1896443309217	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
6	1.76103468913349E-09	1.0E+10	1.0E+10	1E-30	1.83878263216267E-10	1.0E+10	1E-30	1.0E+10	0.150498190411492	6.33234726049455E-08	1.0E+10	28.8572810006977	1.18129114123605E-07	1.0E+10	1.50629498234141	8.1913237698739E-08	1.0E+10	0.312358948064948	2.11048040212791E-08	1.0E+10	0.121963413728485	3.62291021524274E-10	7.22823220095426E-11	0.531206670664542	6.43124572306641E-11	6.87338378758354E-11	1.13298562496193	4.35204212995037E-11	2.02129742450352E-11	2.37527741426349	1.77615496682793E-12	1.82072487226512E-10	13.2761490598865	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
7	1.76103468913349E-09	1.0E+10	1.0E+10	1E-30	1.83878263216267E-10	1.0E+10	1E-30	1.0E+10	0.150498190411492	6.33234726049455E-08	1.0E+10	28.8572810006977	1.18129114123605E-07	1.0E+10	1.50629498234141	8.1913237698739E-08	1.0E+10	0.312358948064948	2.11048040212791E-08	1.0E+10	0.121963413728485	3.62291021524274E-10	7.22823220095426E-11	0.531206670664542	6.43124572306641E-11	6.87338378758354E-11	1.13298562496193	4.35204212995037E-11	2.02129742450352E-11	2.37527741426349	1.77615496682793E-12	1.82072487226512E-10	13.2761490598865	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
8	2.17543397323632E-09	1.0E+10	1.0E+10	1E-30	9.13068129064792E-11	1.0E+10	1E-30	1.0E+10	0.105110137333419	8.52049866762249E-08	1.0E+10	21.4464354045934	1.49259542320618E-07	1.0E+10	1.30714832556716	1.16287200078035E-07	1.0E+10	0.303721915286756	1.75098148852152E-08	1.0E+10	9.51839392960228E-02	1.28619198085027E-07	1.0E+10	6.18450717650581E-02	1E-30	1.70633581682423E-10	1.83470265537872	2.87222266923475E-08	4.24087094632078E-12	4.35700240634212E-02	9.52933291400291E-10	4.10474680978907E-11	0.317641765587164	4.49649723069268E-12	1.24721725119992E-10	16.7031209967842	2.97080625930295E-12	9.90699877463301E-11	17.8977166057739	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
9	2.17543397323632E-09	1.0E+10	1.0E+10	1E-30	9.13068129064792E-11	1.0E+10	1E-30	1.0E+10	0.105110137333419	8.52049866762249E-08	1.0E+10	21.4464354045934	1.49259542320618E-07	1.0E+10	1.30714832556716	1.16287200078035E-07	1.0E+10	0.303721915286756	1.75098148852152E-08	1.0E+10	9.51839392960228E-02	1.28619198085027E-07	1.0E+10	6.18450717650581E-02	1E-30	1.70633581682423E-10	1.83470265537872	2.87222266923475E-08	4.24087094632078E-12	4.35700240634212E-02	9.52933291400291E-10	4.10474680978907E-11	0.317641765587164	4.49649723069268E-12	1.24721725119992E-10	16.7031209967842	2.97080625930295E-12	9.90699877463301E-11	17.8977166057739	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
